Date,DXY,SPY,VIX
2023-05-15,102.43000030517578,400.8131408691406,17.1200008392334
2023-05-16,102.55999755859375,398.1346740722656,17.989999771118164
2023-05-17,102.87999725341797,402.96759033203125,16.8700008392334
2023-05-18,103.58000183105469,406.8494567871094,16.049999237060547
2023-05-19,103.19999694824219,406.25750732421875,16.809999465942383
2023-05-22,103.19999694824219,406.4225158691406,17.209999084472656
2023-05-23,103.48999786376953,401.86126708984375,18.530000686645508
2023-05-24,103.88999938964844,398.9498596191406,20.030000686645508
2023-05-25,104.20999908447266,402.4047546386719,19.139999389648438
2023-05-26,104.20999908447266,407.6161193847656,17.950000762939453
2023-05-30,104.16999816894531,407.77142333984375,17.459999084472656
2023-05-31,104.31999969482422,405.51031494140625,17.940000534057617
2023-06-01,103.55999755859375,409.3630065917969,15.649999618530273
2023-06-02,104.0199966430664,415.2828674316406,14.600000381469727
2023-06-05,104.0,414.4870910644531,14.729999542236328
2023-06-06,104.12999725341797,415.3895568847656,13.960000038146973
2023-06-07,104.0999984741211,413.95330810546875,13.9399995803833
2023-06-08,103.33999633789062,416.4571228027344,13.649999618530273
2023-06-09,103.55999755859375,417.204345703125,13.829999923706055
2023-06-12,103.62999725341797,420.98919677734375,15.010000228881836
2023-06-13,103.33999633789062,423.76470947265625,14.609999656677246
2023-06-14,103.01000213623047,424.2694091796875,13.880000114440918
2023-06-15,102.12000274658203,429.52935791015625,14.5
2023-06-16,102.30000305175781,428.0662536621094,13.539999961853027
2023-06-20,102.54000091552734,425.84539794921875,13.880000114440918
2023-06-21,102.06999969482422,423.6634521484375,13.199999809265137
2023-06-22,102.38999938964844,425.1927185058594,12.90999984741211
2023-06-23,102.9000015258789,421.978271484375,13.4399995803833
2023-06-26,102.69000244140625,420.25421142578125,14.25
2023-06-27,102.48999786376953,424.8616027832031,13.739999771118164
2023-06-28,102.91000366210938,425.0758972167969,13.430000305175781
2023-06-29,103.33999633789062,426.7513122558594,13.539999961853027
2023-06-30,102.91000366210938,431.7872009277344,13.59000015258789
2023-07-03,102.98999786376953,432.28399658203125,13.569999694824219
2023-07-05,103.37000274658203,431.64111328125,14.180000305175781
2023-07-06,103.16999816894531,428.2611083984375,15.4399995803833
2023-07-07,102.2699966430664,427.1798400878906,14.829999923706055
2023-07-10,101.97000122070312,428.2611083984375,15.069999694824219
2023-07-11,101.7300033569336,430.988525390625,14.84000015258789
2023-07-12,100.5199966430664,434.4562072753906,13.539999961853027
2023-07-13,99.7699966430664,437.9044189453125,13.609999656677246
2023-07-14,99.91000366210938,437.6316833496094,13.34000015258789
2023-07-17,99.83999633789062,439.1512145996094,13.479999542236328
2023-07-18,99.94000244140625,442.41436767578125,13.300000190734863
2023-07-19,100.27999877929688,443.398193359375,13.760000228881836
2023-07-20,100.87999725341797,440.45648193359375,13.989999771118164
2023-07-21,101.06999969482422,440.45648193359375,13.600000381469727
2023-07-24,101.3499984741211,442.42413330078125,13.90999984741211
2023-07-25,101.3499984741211,443.6319580078125,13.859999656677246
2023-07-26,100.88999938964844,443.7001647949219,13.1899995803833
2023-07-27,101.7699966430664,440.7584228515625,14.40999984741211
2023-07-28,101.62000274658203,445.0736083984375,13.329999923706055
2023-07-31,101.86000061035156,445.9210510253906,13.630000114440918
2023-08-01,102.30000305175781,444.6449890136719,13.930000305175781
2023-08-02,102.58999633789062,438.4596252441406,16.09000015258789
2023-08-03,102.54000091552734,437.20306396484375,15.920000076293945
2023-08-04,102.0199966430664,435.2257385253906,17.100000381469727
2023-08-07,102.05000305175781,439.02459716796875,15.770000457763672
2023-08-08,102.52999877929688,437.11541748046875,15.989999771118164
2023-08-09,102.48999786376953,434.19317626953125,15.960000038146973
2023-08-10,102.5199966430664,434.3490295410156,15.850000381469727
2023-08-11,102.83999633789062,434.0957336425781,14.84000015258789
2023-08-14,103.19000244140625,436.49200439453125,14.819999694824219
2023-08-15,103.20999908447266,431.4073486328125,16.459999084472656
2023-08-16,103.41999816894531,428.24163818359375,16.780000686645508
2023-08-17,103.44000244140625,424.978515625,17.889999389648438
2023-08-18,103.37999725341797,425.1829528808594,17.299999237060547
2023-08-21,103.33000183105469,427.9493713378906,17.1299991607666
2023-08-22,103.55999755859375,426.7901916503906,16.969999313354492
2023-08-23,103.36000061035156,431.543701171875,15.979999542236328
2023-08-24,103.9800033569336,425.5628967285156,17.200000762939453
2023-08-25,104.08000183105469,428.56304931640625,15.680000305175781
2023-08-28,104.05999755859375,431.2807312011719,15.079999923706055
2023-08-29,103.55000305175781,437.5147705078125,14.449999809265137
2023-08-30,103.16000366210938,439.3168029785156,13.880000114440918
2023-08-31,103.62000274658203,438.6739501953125,13.569999694824219
2023-09-01,104.23999786376953,439.4921569824219,13.09000015258789
2023-09-05,104.80999755859375,437.5926818847656,14.010000228881836
2023-09-06,104.86000061035156,434.6509704589844,14.449999809265137
2023-09-07,105.05999755859375,433.3165588378906,14.399999618530273
2023-09-08,105.08999633789062,433.9691162109375,13.84000015258789
2023-09-11,104.56999969482422,436.82318115234375,13.800000190734863
2023-09-12,104.70999908447266,434.4269714355469,14.229999542236328
2023-09-13,104.7699966430664,434.9334411621094,13.479999542236328
2023-09-14,105.41000366210938,438.6836853027344,12.819999694824219
2023-09-15,105.31999969482422,433.39825439453125,13.789999961853027
2023-09-18,105.19999694824219,433.6524353027344,14.0
2023-09-19,105.19999694824219,432.75311279296875,14.109999656677246
2023-09-20,105.16000366210938,428.7746887207031,15.140000343322754
2023-09-21,105.36000061035156,421.6877136230469,17.540000915527344
2023-09-22,105.58000183105469,420.739501953125,17.200000762939453
2023-09-25,106.0,422.5088195800781,16.899999618530273
2023-09-26,106.2300033569336,416.3016357421875,18.940000534057617
2023-09-27,106.66999816894531,416.4678039550781,18.219999313354492
2023-09-28,106.22000122070312,418.88226318359375,17.34000015258789
2023-09-29,106.16999816894531,417.86566162109375,17.520000457763672
2023-10-02,106.9000015258789,417.6994934082031,17.610000610351562
2023-10-03,107.0,412.10809326171875,19.780000686645508
2023-10-04,106.80000305175781,415.10906982421875,18.579999923706055
2023-10-05,106.33000183105469,414.95263671875,18.489999771118164
2023-10-06,106.04000091552734,419.87933349609375,17.450000762939453
2023-10-09,106.08000183105469,422.56744384765625,17.700000762939453
2023-10-10,105.83000183105469,424.7668762207031,17.030000686645508
2023-10-11,105.81999969482422,426.5068664550781,16.09000015258789
2023-10-12,106.56999969482422,423.90667724609375,16.690000534057617
2023-10-13,106.6500015258789,421.79522705078125,19.31999969482422
2023-10-16,106.23999786376953,426.2331237792969,17.209999084472656
2023-10-17,106.25,426.2135925292969,17.8799991607666
2023-10-18,106.56999969482422,420.5342102050781,19.219999313354492
2023-10-19,106.25,416.83929443359375,21.399999618530273
2023-10-20,106.16000366210938,411.71710205078125,21.709999084472656
2023-10-23,105.54000091552734,411.0035095214844,20.3700008392334
2023-10-24,106.2699966430664,414.10223388671875,18.969999313354492
2023-10-25,106.52999877929688,408.1589660644531,20.190000534057617
2023-10-26,106.5999984741211,403.27142333984375,20.68000030517578
2023-10-27,106.55999755859375,401.4435119628906,21.270000457763672
2023-10-30,106.12000274658203,406.2430725097656,19.75
2023-10-31,106.66000366210938,408.7944030761719,18.139999389648438
2023-11-01,106.87999725341797,413.154052734375,16.8700008392334
2023-11-02,106.12000274658203,421.0718688964844,15.65999984741211
2023-11-03,105.0199966430664,424.9134521484375,14.90999984741211
2023-11-06,105.22000122070312,425.8909912109375,14.890000343322754
2023-11-07,105.54000091552734,427.10308837890625,14.8100004196167
2023-11-08,105.58999633789062,427.4159240722656,14.449999809265137
2023-11-09,105.91000366210938,424.0826110839844,15.289999961853027
