instrument_name,funding_rate,funding_time
A-USDT-SWAP,0.00005,1755115200000
A-USDT-SWAP,0.00005,1755129600000
A-USDT-SWAP,0.00005,1755144000000
A-USDT-SWAP,0.00005,1755158400000
A-USDT-SWAP,0.00005,1755172800000
A-USDT-SWAP,0.00005,1755187200000
A-USDT-SWAP,0.00005,1755201600000
A-USDT-SWAP,0.00005,1755216000000
A-USDT-SWAP,0.00005,1755230400000
A-USDT-SWAP,0.00005,1755244800000
A-USDT-SWAP,0.00005,1755259200000
A-USDT-SWAP,0.00005,1755273600000
A-USDT-SWAP,0.00005,1755288000000
A-USDT-SWAP,0.00005,1755302400000
A-USDT-SWAP,0.00005,1755316800000
A-USDT-SWAP,0.00005,1755331200000
A-USDT-SWAP,0.00005,1755345600000
A-USDT-SWAP,0.00005,1755360000000
A-USDT-SWAP,0.00005,1755374400000
A-USDT-SWAP,0.00005,1755388800000
A-USDT-SWAP,0.00005,1755403200000
A-USDT-SWAP,0.00005,1755417600000
A-USDT-SWAP,0.00005,1755432000000
A-USDT-SWAP,0.00005,1755446400000
A-USDT-SWAP,0.0000313444305088,1755460800000
A-USDT-SWAP,0.00005,1755475200000
A-USDT-SWAP,0.00005,1755489600000
A-USDT-SWAP,-0.0000064862925071,1755504000000
A-USDT-SWAP,0.00005,1755518400000
A-USDT-SWAP,0.00005,1755532800000
A-USDT-SWAP,0.00005,1755547200000
A-USDT-SWAP,0.00005,1755561600000
A-USDT-SWAP,0.00005,1755576000000
A-USDT-SWAP,0.00005,1755590400000
A-USDT-SWAP,0.00005,1755604800000
A-USDT-SWAP,0.00005,1755619200000
A-USDT-SWAP,-0.0000245425856973,1755633600000
A-USDT-SWAP,0.00005,1755648000000
A-USDT-SWAP,0.00005,1755662400000
A-USDT-SWAP,0.00005,1755676800000
A-USDT-SWAP,0.00005,1755691200000
A-USDT-SWAP,0.00005,1755705600000
A-USDT-SWAP,0.00005,1755720000000
A-USDT-SWAP,0.00005,1755734400000
A-USDT-SWAP,-0.0000084343803614,1755748800000
A-USDT-SWAP,0.00005,1755763200000
A-USDT-SWAP,0.00005,1755777600000
A-USDT-SWAP,0.00005,1755792000000
A-USDT-SWAP,0.00005,1755806400000
A-USDT-SWAP,0.00005,1755820800000
A-USDT-SWAP,0.00005,1755835200000
A-USDT-SWAP,0.00005,1755849600000
A-USDT-SWAP,-0.0000148421239254,1755864000000
A-USDT-SWAP,0.00005,1755878400000
A-USDT-SWAP,0.00005,1755892800000
A-USDT-SWAP,0.00005,1755907200000
A-USDT-SWAP,0.00005,1755921600000
A-USDT-SWAP,0.00005,1755936000000
A-USDT-SWAP,0.00005,1755950400000
A-USDT-SWAP,0.00005,1755964800000
A-USDT-SWAP,0.00005,1755979200000
A-USDT-SWAP,0.00005,1755993600000
A-USDT-SWAP,0.00005,1756008000000
A-USDT-SWAP,0.00005,1756022400000
A-USDT-SWAP,0.00005,1756036800000
A-USDT-SWAP,0.00005,1756051200000
A-USDT-SWAP,0.00005,1756065600000
A-USDT-SWAP,0.00005,1756080000000
A-USDT-SWAP,0.00005,1756094400000
A-USDT-SWAP,0.00005,1756108800000
A-USDT-SWAP,0.00005,1756123200000
A-USDT-SWAP,0.00005,1756137600000
A-USDT-SWAP,0.00005,1756152000000
A-USDT-SWAP,-0.0000181331641223,1756166400000
A-USDT-SWAP,0.00005,1756180800000
A-USDT-SWAP,0.00005,1756195200000
A-USDT-SWAP,0.00005,1756209600000
A-USDT-SWAP,0.00005,1756224000000
A-USDT-SWAP,0.00005,1756238400000
A-USDT-SWAP,0.00005,1756252800000
A-USDT-SWAP,0.00005,1756267200000
A-USDT-SWAP,0.00005,1756281600000
A-USDT-SWAP,0.00005,1756296000000
A-USDT-SWAP,0.00005,1756310400000
A-USDT-SWAP,0.00005,1756324800000
A-USDT-SWAP,0.00005,1756339200000
A-USDT-SWAP,0.00005,1756353600000
A-USDT-SWAP,0.00005,1756368000000
A-USDT-SWAP,0.00005,1756382400000
A-USDT-SWAP,0.00005,1756396800000
A-USDT-SWAP,0.00005,1756411200000
A-USDT-SWAP,0.00005,1756425600000
A-USDT-SWAP,0.00005,1756440000000
A-USDT-SWAP,0.00005,1756454400000
A-USDT-SWAP,0.00005,1756468800000
A-USDT-SWAP,0.00005,1756483200000
A-USDT-SWAP,0.00005,1756497600000
A-USDT-SWAP,0.00005,1756512000000
A-USDT-SWAP,0.00005,1756526400000
A-USDT-SWAP,0.00005,1756540800000
A-USDT-SWAP,0.00005,1756555200000
A-USDT-SWAP,0.00005,1756569600000
A-USDT-SWAP,0.00005,1756584000000
A-USDT-SWAP,0.00005,1756598400000
A-USDT-SWAP,0.00005,1756612800000
A-USDT-SWAP,0.00005,1756627200000
A-USDT-SWAP,0.00005,1756641600000
AAVE-USDT-SWAP,0.00004709084935,1753977600000
AAVE-USDT-SWAP,0.0001,1754006400000
AAVE-USDT-SWAP,0.0001,1754035200000
AAVE-USDT-SWAP,0.0000917078013798,1754064000000
AAVE-USDT-SWAP,0.0001,1754092800000
AAVE-USDT-SWAP,0.0001,1754121600000
AAVE-USDT-SWAP,0.0000446586330982,1754150400000
AAVE-USDT-SWAP,0.0000849202947171,1754179200000
AAVE-USDT-SWAP,0.0000053206407952,1754208000000
AAVE-USDT-SWAP,-0.0000502345740726,1754236800000
AAVE-USDT-SWAP,-0.0000280555194725,1754265600000
AAVE-USDT-SWAP,0.0000063650598219,1754294400000
AAVE-USDT-SWAP,-0.000043425746165,1754323200000
AAVE-USDT-SWAP,0.0000461500653899,1754352000000
AAVE-USDT-SWAP,0.0001,1754380800000
AAVE-USDT-SWAP,0.0001,1754409600000
AAVE-USDT-SWAP,0.0000501354445844,1754438400000
AAVE-USDT-SWAP,0.0001,1754467200000
AAVE-USDT-SWAP,-0.0000050325177943,1754496000000
AAVE-USDT-SWAP,0.0000685117562882,1754524800000
AAVE-USDT-SWAP,0.0000468779480842,1754553600000
AAVE-USDT-SWAP,0.0001,1754582400000
AAVE-USDT-SWAP,0.0000437653822634,1754611200000
AAVE-USDT-SWAP,0.0000920236410403,1754640000000
AAVE-USDT-SWAP,0.0001,1754668800000
AAVE-USDT-SWAP,0.0000545651083496,1754697600000
AAVE-USDT-SWAP,0.0001,1754726400000
AAVE-USDT-SWAP,0.0001,1754755200000
AAVE-USDT-SWAP,0.0001,1754784000000
AAVE-USDT-SWAP,0.0001,1754812800000
AAVE-USDT-SWAP,0.0001,1754841600000
AAVE-USDT-SWAP,0.0001,1754870400000
AAVE-USDT-SWAP,0.0001,1754899200000
AAVE-USDT-SWAP,0.0000557350998909,1754928000000
AAVE-USDT-SWAP,0.0001,1754956800000
AAVE-USDT-SWAP,0.0000043251311827,1754985600000
AAVE-USDT-SWAP,0.0000164378149292,1755014400000
AAVE-USDT-SWAP,0.0001,1755043200000
AAVE-USDT-SWAP,0.0001,1755072000000
AAVE-USDT-SWAP,0.0001,1755100800000
AAVE-USDT-SWAP,0.0001,1755129600000
AAVE-USDT-SWAP,0.0001,1755158400000
AAVE-USDT-SWAP,0.0001,1755187200000
AAVE-USDT-SWAP,0.0001,1755216000000
AAVE-USDT-SWAP,0.0000749122016704,1755244800000
